Vehicle ID,Lane,Frame,Timestamp
1,1,3,0.1
2,1,3,0.1
3,1,3,0.1
4,2,3,0.1
5,1,3,0.1
7,2,3,0.1
8,1,13,0.43333333333333335
9,1,19,0.6333333333333333
12,1,31,1.0333333333333334
15,1,37,1.2333333333333334
16,3,39,1.3
17,3,41,1.3666666666666667
19,1,46,1.5333333333333334
15,2,60,2.0
32,2,73,2.433333333333333
34,1,82,2.7333333333333334
35,3,85,2.8333333333333335
17,2,96,3.2
36,2,97,3.2333333333333334
34,2,120,4.0
43,2,128,4.266666666666667
47,1,137,4.566666666666666
48,2,138,4.6
50,1,139,4.633333333333334
51,2,142,4.733333333333333
50,2,150,5.0
52,1,161,5.366666666666666
52,2,180,6.0
56,1,180,6.0
57,1,182,6.066666666666666
66,1,205,6.833333333333333
67,2,205,6.833333333333333
70,1,207,6.9
72,1,210,7.0
77,1,225,7.5
66,2,229,7.633333333333334
80,1,240,8.0
83,2,243,8.1
87,2,248,8.266666666666667
83,1,255,8.5
94,1,255,8.5
95,2,256,8.533333333333333
99,1,264,8.8
100,1,269,8.966666666666667
101,2,273,9.1
104,2,306,10.2
106,1,314,10.466666666666667
100,2,318,10.6
87,1,335,11.166666666666666
119,1,346,11.533333333333333
124,1,354,11.8
126,1,358,11.933333333333334
106,2,362,12.066666666666666
134,1,374,12.466666666666667
144,1,426,14.2
150,1,445,14.833333333333334
157,1,463,15.433333333333334
162,2,478,15.933333333333334
165,1,496,16.533333333333335
166,1,497,16.566666666666666
166,2,516,17.2
178,1,534,17.8
181,1,539,17.966666666666665
184,2,548,18.266666666666666
185,1,552,18.4
185,2,579,19.3
190,1,581,19.366666666666667
192,1,597,19.9
